Subnum,trial,RT,choice,outcome,missed
1,1,1.05,1.0,200,0
1,2,0.514,4.0,-100,0
1,3,0.489,2.0,100,0
1,4,0.516,3.0,-200,0
1,5,0.51,1.0,200,0
1,6,0.748,1.0,200,0
1,7,0.607,2.0,100,0
1,8,0.479,1.0,200,0
1,9,2.0,,0,1
1,10,0.673,1.0,-1050,0
1,11,0.532,2.0,100,0
1,12,0.341,3.0,-200,0
1,13,0.444,4.0,-100,0
1,14,0.416,1.0,200,0
1,15,0.392,1.0,200,0
1,16,0.44,1.0,200,0
1,17,0.406,1.0,200,0
1,18,0.288,1.0,-1050,0
1,19,1.18,3.0,-200,0
1,20,0.739,2.0,100,0
1,21,0.323,1.0,200,0
1,22,0.505,1.0,200,0
1,23,0.485,1.0,200,0
1,24,0.389,2.0,-650,0
1,25,0.665,1.0,200,0
1,26,0.355,1.0,-1050,0
1,27,0.91,1.0,200,0
1,28,2.0,,0,1
1,29,0.401,1.0,200,0
1,30,0.57,1.0,200,0
1,31,0.414,1.0,200,0
1,32,0.288,1.0,-1050,0
1,33,0.545,4.0,-100,0
1,34,0.302,1.0,200,0
1,35,0.594,1.0,200,0
1,36,0.433,1.0,200,0
1,37,0.395,1.0,200,0
1,38,0.289,1.0,-1050,0
1,39,0.521,1.0,200,0
1,40,0.38,1.0,200,0
1,41,0.477,1.0,200,0
1,42,0.462,1.0,200,0
1,43,0.439,2.0,100,0
1,44,0.522,2.0,100,0
1,45,1.25,1.0,-1050,0
1,46,0.758,1.0,200,0
1,47,0.772,1.0,200,0
1,48,0.605,1.0,200,0
1,49,1.25,1.0,200,0
1,50,0.382,2.0,100,0
1,51,0.933,1.0,200,0
1,52,0.368,1.0,200,0
1,53,0.262,1.0,200,0
1,54,0.353,1.0,200,0
1,55,0.931,2.0,100,0
1,56,0.406,2.0,100,0
1,57,0.331,2.0,100,0
1,58,0.504,2.0,100,0
1,59,0.334,3.0,-200,0
1,60,0.7,2.0,-650,0
1,61,0.868,4.0,-100,0
1,62,0.485,1.0,-1050,0
1,63,1.9,3.0,-200,0
1,64,0.771,4.0,-100,0
1,65,0.345,1.0,200,0
1,66,0.355,1.0,200,0
1,67,0.303,1.0,200,0
1,68,0.539,1.0,200,0
1,69,0.289,1.0,-1050,0
1,70,0.72,1.0,200,0
1,71,0.413,1.0,200,0
1,72,0.331,1.0,200,0
1,73,0.545,1.0,200,0
1,74,0.418,3.0,-200,0
1,75,1.05,2.0,100,0
1,76,0.733,2.0,100,0
1,77,0.536,2.0,100,0
1,78,1.24,1.0,-1050,0
1,79,2.0,,0,1
1,80,1.21,1.0,200,0
1,81,0.255,1.0,200,0
1,82,0.286,1.0,200,0
1,83,0.298,1.0,200,0
1,84,0.449,2.0,100,0
1,85,0.463,2.0,-650,0
1,86,0.552,3.0,-200,0
